OBJECTID,SUBJ_STATE,FEATURE,Shape__Area,Shape__Length
885,OREGON,2,167323.014312744,1844.35177426794
886,OREGON,2,2842.10516357422,201.010673660349
887,OREGON,2,3961.71633911133,262.409469823119
888,OREGON,2,2928.21597290039,199.740276666648
889,OREGON,2,2540.66302490234,184.7929789618
890,OREGON,2,1270.33612060547,133.686404265117
891,OREGON,1,4227198.44055176,10100.9015228877
892,OREGON,2,1813.99359130859,163.245372413427
893,OREGON,1,201268.724487305,2359.51426183093
894,OREGON,1,19495.6231689453,562.971992686091
895,OREGON,1,676271.517578125,4385.20456102275
896,OREGON,1,187942.305419922,1857.57120830589
897,OREGON,1,7862.54418945313,372.728487306639
898,OREGON,1,542596.965087891,4077.54750184716
899,OREGON,1,42713.5422363281,902.54013830958
900,OREGON,2,7880.36022949219,339.083782273417
901,OREGON,2,14038.2723083496,662.488902327353
902,OREGON,1,251892.406005859,3268.28765040558
903,OREGON,2,64388.607421875,1235.58953675351
904,OREGON,1,101648.377075195,2090.64553862896
905,OREGON,2,73286.3309631348,1280.69410628659
906,OREGON,2,5485.03686523438,269.829625215817
907,OREGON,1,216836.630737305,2402.82963451909
908,OREGON,2,3477.26666259766,223.004601700164
909,OREGON,2,7347.47302246094,375.419384272714
910,OREGON,1,6258808.15246582,17001.7675822475
911,OREGON,1,177507.234375,3211.59847770233
912,OREGON,1,664050.055786133,4181.78973949861
913,OREGON,1,62734.6302490234,1472.11672206191
914,OREGON,1,27463.0393066406,686.948361076907
915,OREGON,1,57328.3562011719,1162.2698541092
916,OREGON,1,64869.3129882813,1170.81453708841
917,OREGON,1,4987.45825195313,259.345093413387
918,OREGON,1,143873.332885742,2057.93472255616
919,OREGON,1,202337.817871094,1882.6454436266
920,OREGON,1,23967.2174072266,639.860977941588
921,OREGON,1,51579.8364257813,1107.12537300656
922,OREGON,1,24087.2154541016,764.722577727895
923,OREGON,1,4564853.67077637,10733.0947244794
924,OREGON,1,17200.3972167969,694.097910961674
925,OREGON,1,1404012.84350586,8238.4232347935
